"object_id","locality","name","street_address","owner_applicant","construction_type","build_status","lat","long"
72,"Loudoun County","NV-8 CYRUSONE","45905 MARIES RD","C1 NORTHERN VIRGINIA - STERLING VIII LLC","Complete","Existing",39.02124555,-77.41336558
73,"Loudoun County","CYXTERA DC2 COLOCATION","45901 NOKES BLVD","MEDINA DC 2 ASSETS LLC","Complete","Existing",39.02324816,-77.41318261
75,"Loudoun County","MARIES TECH PARK LLC","45761 MARIES RD","Amazon Data Services Inc","Complete","Existing",39.02399856,-77.41950271
76,"Loudoun County","45845 NOKES BLVD","45845 NOKES BLVD","MEDINA DC 2 ASSETS LLC","Complete","Existing",39.02386667,-77.41526808
77,"Loudoun County","C1 NORTHERN VA - STERLING I-III","21111 Ridgetop","CyrusOne","Complete","Existing",39.02606689,-77.41453647
78,"Loudoun County","CYXTERA COLOCATION","21110 RIDGETOP CIR","MEDINA DC 2 ASSETS LLC","Complete","Existing",39.0248014,-77.41233467
79,"Loudoun County","Vantage V2 Campus 22318 Glenn Drive","22435 GLENN DR  ","VANTAGE DATA CENTERS VA2 LLC","Complete","Existing",38.99797264,-77.43019022
80,"Loudoun County","CPUS STERLING LP","45900 PATHFINDER PLZ","CPUS STERLING LP","Complete","Existing",38.98774634,-77.4108618
81,"Loudoun County","23005 INTERNATIONAL DR","23005 INTERNATIONAL DR","DULLES NCP II LLC","Complete","Existing",38.97999809,-77.42562186
82,"Loudoun County","22945 INTERNATIONAL DR AWS","22945 INTERNATIONAL DR","Amazon Data Services Inc","Complete","Existing",38.98215669,-77.42751353
83,"Loudoun County","DULLES NCP LLC","22916 INTERNATIONAL DR","DULLES NCP LLC","Complete","Existing",38.98239872,-77.42485244
84,"Loudoun County","WATERSIDE AWS","22900 PLATFORM PLZ","WATERSIDE I LLC","Complete","Existing",38.98124896,-77.4179307
85,"Loudoun County","NV-4 CYRUSONE LLC","22811 INTERNATIONAL DR
","C1 NORTHERN VIRGINIA - STERLING IV LLC","Complete","Existing",38.98468471,-77.42581523
86,"Loudoun County","IAD2 Evoque Cyxtera","22810 INTERNATIONAL DR","22810-22860 INTERNATIONAL DRIVE LLC","Complete","Existing",38.98419476,-77.42401873
88,"Loudoun County","VISA USA INC","44901 RUSSELL BRANCH PKWY","VISA USA INC","Complete","Existing",39.04920476,-77.44556813
89,"Loudoun County","BEAUMEADE LC PHASE III LLC","20935 LOUDOUN COUNTY PKWY","BEAUMEADE LC PHASE III LLC","Complete","Existing",39.0363794,-77.44978929
90,"Loudoun County","PowerHouse/AREP ABX-1","21529 BEAUMEADE CIR","AREP BEAUMEADE LLC","Complete","Existing",39.01957896,-77.45049386
91,"Loudoun County","DC 21/IAD 98","45305 W SEVERN WAY","BCORE COPT DC-21 LLC","Complete","Existing",39.01945652,-77.43400188
92,"Loudoun County","GI TC 45360 SEVERN WAY LLC","45360 W SEVERN WAY","GI TC 45360 SEVERN WAY LLC","Complete","Existing",39.02167671,-77.43291713
93,"Loudoun County","1304 SQUIRE CT","1304 SQUIRE CT","ELECTRIC BUILDING LLC","Complete","Existing",39.02152866,-77.43475817
97,"Loudoun County","21641 CHARLES VIEW DR","21641 CHARLES VIEW DR","Amazon Data Services Inc","Complete","Existing",39.0179646,-77.43968178
99,"Loudoun County","QTS BRODERICK ACQUISITION CO LLC","22271 BRODERICK DR","QTS","Complete","Existing",38.99910296,-77.44981788
100,"Loudoun County","VERISIGN INC","22340 DRESDEN ST","VERISIGN INC","Complete","Existing",38.99773902,-77.4436832
101,"Loudoun County","22370 KIPPER DR AWS","22370 KIPPER DR","Amazon Data Services Inc","Complete","Existing",38.99696471,-77.43580741
102,"Loudoun County","NVA01 STACK INFRASTRUCTURE","22080 PACIFIC BLVD","STACK INFRASTRUCTURE","Complete","Existing",39.0045421,-77.4419761
103,"Loudoun County","SENTINEL ASHBURN II","22262 CLOUD PLZ","GI TC LOUDOUN LLC","Complete","Existing",39.0006039,-77.43985679
104,"Loudoun County","VANTAGE DATA CENTERS VA11","45200 VANTAGE DATA PLZ","VANTAGE DATA CENTERS","Complete","Existing",39.00213374,-77.43737852
105,"Loudoun County","VANTAGE DATA CENTERS VA12","45194 VANTAGE DATA PLZ","VANTAGE DATA CENTERS","Complete","Existing",39.00305364,-77.44010205
106,"Loudoun County","DIGITAL LOUDOUN IV","22125 BRODERICK DR","DIGITAL LOUDOUN IV LLC","Complete","Existing",39.0051437,-77.45119527
108,"Loudoun County","FR SUMMIT AWS","22630 DULLES SUMMIT CT","FR SUMMIT LLC","Complete","Existing",38.98870993,-77.44764983
109,"Loudoun County","MCP 22745 & 22755 RELOCATION DRIVE","22745 RELOCATION DR","MCP 22745 & 22755 RELOCATION DRIVE LLC","Complete","Existing",38.98649106,-77.44223349
112,"Loudoun County","DCT DULLES PHASE II","22651 DULLES SUMMIT CT","DCT DULLES PHASE II LLC","Complete","Existing",38.99059927,-77.4488546
115,"Loudoun County","Aligned Energy Data Center","22715 RELOCATION DR","VANTAGE DATA CENTERS","Complete","Existing",38.98848953,-77.44085572
118,"Loudoun County","DIGITAL STERLING PREMIER","22574 PACIFIC BLVD","DIGITAL STERLING PREMIER LLC","Complete","Existing",38.99003896,-77.43467403
119,"Loudoun County","IAD76","22520 RANDOLPH DR","FR RANDOLPH DRIVE LLC","Complete","Existing",38.99405639,-77.45023482
120,"Loudoun County","DATA CENTER BUILDING C","22631 DULLES SUMMIT CT","DCT DULLES PHASE II LLC","Complete","Existing",38.9917194,-77.44855245
122,"Loudoun County","IAD03","22580 RELOCATION DR","ALIGNED ENERGY DATA CENTERS ASHBURN LLC","Complete","Existing",38.99307681,-77.43411536
123,"Loudoun County","QTS Ashburn-Moran","1506 MORAN RD","QTS","Complete","Existing",38.99446223,-77.44814117
125,"Loudoun County","22350 KIPPER DR AWS","22350 KIPPER DR","Amazon Data Services Inc","Complete","Existing",38.99508858,-77.43511004
126,"Loudoun County","IAD3 Evoque Cyxtera","22995 WILDER CT","22995 WILDER COURT LLC","Complete","Existing",38.98105939,-77.44433907
127,"Loudoun County","IAD114","20945 LOUDOUN COUNTY PKWY","BEAUMEADE LC PHASE III LLC","Complete","Existing",39.03563056,-77.45093717
128,"Loudoun County","21551 BEAUMEADE CIR","21551 BEAUMEADE CIR","BEAUMEADE TECHNOLOGY PARTNERS LLC","Complete","Existing",39.02088482,-77.45114126
129,"Loudoun County","ACC5 ACC6 Digital Realty","44521 HASTINGS DR","FOX PROPERTIES LLC","Complete","Existing",39.02070229,-77.46347144
131,"Loudoun County","44470 Chilum Place","44470 CHILUM PL","EQUINIX","Complete","Existing",39.02220796,-77.46144166
132,"Loudoun County","44490 CHILUM PL","44490 CHILUM PL","BLUE SLING ACC 2 LLC","Complete","Existing",39.02134109,-77.45830079
133,"Loudoun County","44520 HASTINGS DR","44520 HASTINGS DR","QUILL EQUITY LLC","Complete","Existing",39.01993471,-77.45988872
134,"Loudoun County","21745 BEAUMEADE CIR","21745 BEAUMEADE CIR","21673 BEAUMEADE CIRCLE LLC","Complete","Existing",39.01851166,-77.45889795
136,"Loudoun County","MONTEREY DC ASSETS","21571 BEAUMEADE CIR","MONTEREY DC ASSETS LLC","Complete","Existing",39.02194221,-77.45328952
137,"Loudoun County","44790 PERFORMANCE CIR","44790 PERFORMANCE CIR","EQUINIX","Complete","Existing",39.02357221,-77.45090467
138,"Loudoun County","RAGING WIRE VA1","44664 GUILFORD DR","RAGINGWIRE DATA CENTERS INC","Complete","Existing",39.02266089,-77.4548714
139,"Loudoun County","BCORE COPT DC-15","44862 INTERCONNECTION PL","BCORE COPT DC-15 LLC","Complete","Existing",39.02639748,-77.45114855
140,"Loudoun County","DBT-DATA ASHBURN HOLDING I","44610 GUILFORD DR","NTT GLOBAL DATA CENTERS AMERICAS INC","Complete","Existing",39.02489857,-77.45765052
141,"Loudoun County","DC 8 9 10 DE","21271 SMITH SWITCH RD","DC 8 9 10 DE LLC","Complete","Existing",39.02907864,-77.45896392
142,"Loudoun County","21955 LOUDOUN COUNTY PKWY","21955 LOUDOUN COUNTY PKWY","CloudHQ","Complete","Existing",39.01002754,-77.46273662
144,"Loudoun County","DIGITAL REALTY ACC10","21744 SIR TIMOTHY DR","BLUE SLING ACC 10 LLC","Complete","Existing",39.01327692,-77.46601762
145,"Loudoun County","44621 WAXPOOL RD","44621 WAXPOOL RD","KAVEH VENTURES LLC","Complete","Existing",39.01213849,-77.4629108
146,"Loudoun County","CLOUD HQ LC3","44631 WAXPOOL RD","LOHRASP VENTURES LLC","Complete","Existing",39.01115409,-77.45961026
147,"Loudoun County","EQUINIX DC21","22175 BEAUMEADE CIR","EQUINIX","Complete","Existing",39.01186426,-77.45481385
149,"Loudoun County","21310 BEAUMEADE CIR","21310 BEAUMEADE CIR","BEAUMEADE DC BUILDING LLC","Complete","Existing",39.01584869,-77.45340782
150,"Loudoun County","H5 CAPITAL-ASHBURN","21800 BEAUMEADE CIR","ASHBURN DATA PROPERTY OWNER LP","Complete","Existing",39.01373262,-77.45174904
151,"Loudoun County","ALIGNED DATA CENTER IAD01","21890 UUNET DR","ALIGNED ENERGY DATA CENTERS","Complete","Existing",39.01393563,-77.46997356
152,"Loudoun County","BLUE SLING ACC 9","21745 SIR TIMOTHY DR","BLUE SLING ACC 9 LLC","Complete","Existing",39.01549243,-77.46757943
154,"Loudoun County","21320 BEAUMEADE CIR","21320 BEAUMEADE CIR","BEAUMEADE DC BUILDING LLC","Complete","Existing",39.01704513,-77.4522879
155,"Loudoun County","ACC7 Digital Realty","21625 GRESHAM DR","ALSHAIN VENTURES LLC","Complete","Existing",39.01753003,-77.46567818
156,"Loudoun County","Filigree Ct Campus","21701 FILIGREE CT","EQUINIX","Complete","Existing",39.01585308,-77.45988623
160,"Loudoun County","IAD Round Table Campus Digital Realty","44274 ROUND TABLE PLZ","DIGITAL LOUDOUN 3 LLC","Complete","Existing",39.00662947,-77.46619629
161,"Loudoun County","IAD 41, IAD 42, BLDG P","44757 ROUND TABLE PLZ","DIGITAL LOUDOUN 3 LLC","Complete","Existing",39.00840765,-77.45794438
162,"Loudoun County","QTS Lockridge ASH2 Quality Tech Lane DC2","44655 QUALITY TECH LN","QTS","Complete","Existing",38.99543448,-77.45692425
163,"Loudoun County","QTS Lockridge ASH2 Quality Tech Lane DC1","44675 QUALITY TECH LN","ASHBURN ACQUISITION CO II LLC","Complete","Existing",38.99553454,-77.45531493
165,"Loudoun County","21821 UUNET DR","21821 UUNET DR","ALIGNED ENERGY DATA CENTERS","Complete","Existing",39.01025528,-77.47497478
166,"Loudoun County","EQUINEX DC13","21830 UUNET DR","EQUINIX","Complete","Existing",39.01260183,-77.47533285
167,"Loudoun County","ALIGNED ENERGY DATA CENTERS ASHBURN","21838 UUNET DR","ALIGNED ENERGY DATA CENTERS","Complete","Existing",39.01321236,-77.47296648
169,"Loudoun County","Red Rum Dr Campus Sabey Data Centers","21735 RED RUM DR","INTERGATE ASHBURN I LLC","Complete","Existing",39.01470116,-77.47845566
171,"Loudoun County","IAD3 DataBank","21630 RED RUM DR","ZCOLO LLC","Complete","Existing",39.01779141,-77.48172298
172,"Loudoun County","QTS DATA CENTER ASH3-DC1","22291 SHELLHORN RD","QTS","Complete","Existing",38.998035,-77.47548065
173,"Loudoun County","ASH3 DC2","22271 SHELLHORN RD","QTS","Complete","Existing",38.99865778,-77.47419201
174,"Loudoun County","IAD12","43881 DEVIN SHAFRON DR","Digital Realty","Complete","Existing",39.00198339,-77.48332173
175,"Loudoun County","IAD Digital Loudoun Plaza","43940 DIGITAL LOUDOUN PLZ","Digital Realty","Complete","Existing",39.00082839,-77.47920034
177,"Loudoun County","IAD14","43791 DEVIN SHAFRON DR","Digital Realty","Complete","Existing",39.00329462,-77.48721424
178,"Loudoun County","43831 DEVIN SHAFRON DR","43831 DEVIN SHAFRON DR","Digital Realty","Complete","Existing",39.0026917,-77.48534609
179,"Loudoun County","IAD24","43830 DEVIN SHAFRON DR","DIGITAL LOUDOUN II LLC","Complete","Existing",39.00466209,-77.48496657
180,"Loudoun County","DIGITAL-GCEAR1 ASHBURN","43915 DEVIN SHAFRON DR","GI TC DEVIN SHAFRON LLC","Complete","Existing",39.00285962,-77.48191497
185,"Loudoun County","AWS IAD61-IAD63 South Riding","25316 PREDICTION LN","Amazon Data Services Inc","Complete","Existing",38.91676919,-77.49379612
186,"Loudoun County","Sutton Bay","25800 SUTTON BAY PLZ","Amazon Data Services Inc","Complete","Existing",38.91631015,-77.47834197
201,"Loudoun County","Fadeley Campus","42949 FADELEY LN","Amazon Data Services Inc","Complete","Existing",38.94895567,-77.52147554
203,"Loudoun County","Project Celtic Phase 1","20680 CELTIC PARK DR","Google","Operating, Expanding","Existing",39.05691354,-77.54663178
205,"Loudoun County","HAYDEN TECHNOLOGIES","20491 GOOSE LANDING LN","HAYDEN TECHNOLOGIES LLC","Operating, Expanding","Existing",39.05171448,-77.53956054
208,"Loudoun County","IAD11","41840 GROWTH MINDSET LN","Microsoft Corporation","Complete","Existing",38.94816566,-77.55538175
210,"Loudoun County","ALLEGRO SOUTH CAMPUS","24171 YOUNGWOOD LN","YONDR JK 2 LLC","Complete","Existing",38.94984278,-77.54913757
213,"Loudoun County","IAD 01-04","19540 COMPASS CREEK PKWY","MICROSOFT CORP","Complete","Existing",39.06785528,-77.56021175
216,"Loudoun County","24244 QUAIL RIDGE LN","24244 QUAIL RIDGE LN","Amazon Data Services Inc","Complete","Existing",38.94905003,-77.56043618
217,"Loudoun County","Quail Ridge C - D","24214 QUAIL RIDGE LN","Amazon Data Services Inc","Complete","Existing",38.94839095,-77.55883643
219,"Loudoun County","DULLES BERRY LC4","22200 LOUDOUN COUNTY PKWY  ","CloudHQ","Complete","Existing",39.00252011,-77.47227907
337,"Loudoun County","MECP1 ASHBURN 1 LLC","21215 ATLANTIC BLVD","MECP1 ASHBURN 1 LLC","Complete","Existing",39.0284858859489,-77.4276849873378
338,"Loudoun County","MECP2 ASHBURN 2 LLC","21205 ATLANTIC BLVD","MECP2 ASHBURN 2 LLC","Complete","Existing",39.0304124125179,-77.4290132354712
339,"Loudoun County","MECP3 ASHBURN 3 LLC","21195 ATLANTIC BLVD","MECP3 ASHBURN 3 LLC","Complete","Existing",39.0323483344914,-77.4299109244604
393,"Loudoun County","STACK NVA04","22285 LOCKRIDGE RD","STACK INFRASTRUCTURE","Complete","Existing",39.000746,-77.460305
394,"Loudoun County","STACK NVA04","22271 LOCKRIDGE RD","STACK INFRASTRUCTURE","Complete","Existing",38.999166,-77.460786
396,"Loudoun County","AWS H&M Property","25500 MEADOWDALE DR","Amazon Data Services Inc","Operating, Expanding","Existing",38.92110773,-77.48629892
401,"Loudoun County","Northwoods Property","43649 LIGHT SPEED PLZ","Amazon Data Services Inc","Complete","Existing",38.98071575,-77.49381779
402,"Loudoun County","IAD44","43704 EFFICIENCY DR","Digital Realty","Complete","Existing",38.96118067,-77.49052334
403,"Loudoun County","PROLOGIS-EXCHANGE 43461 OLD OX ROAD","23845 ERINS RUN DR","Prologis","Operating, Expanding","Existing",38.95745135,-77.49767788
408,"Loudoun County","Vantage VA 3","43321 DATA DR","VANTAGE DATA CENTERS","Operating, Expanding","Existing",39.07739352,-77.50616535
409,"Loudoun County","NVA06 Campus","19275 COMPASS CREEK PKWY SE","STACK INFRASTRUCTURE","Complete","Existing",39.08262667,-77.56523178
410,"Loudoun County","NVA06 Campus","19265 COMPASS CREEK PKWY","STACK INFRASTRUCTURE","Complete","Existing",39.08022813,-77.56472753
411,"Loudoun County","WHEELER SURVEY COMPANY","24400 HOWLING ROOSTER LN","WHEELER SURVEY COMPANY LLC","Operating, Expanding","Existing",38.94236155,-77.52864356
418,"Loudoun County","NV-9 CYRUSONE","43290 OLD OX RD","CyrusOne","Operating, Expanding","Existing",38.95866473,-77.50507079
424,"Loudoun County","IAD214","22760 PACIFIC BLV","Amazon Data Services Inc","Complete","Existing",38.98673089,-77.43557826
425,"Loudoun County","DCT DULLES DOWNS Land Bay B","45220 PROLOGIS PLZ","DCT DULLES DOWNS LLC","Complete","Existing",38.99013715,-77.4372931
427,"Loudoun County","DCT DULLES DOWNS Land Bay A","45111 LOUDOUN DOWNS LN","DCT DULLES DOWNS LLC","Complete","Existing",38.99117809,-77.44136698
431,"Loudoun County","Prologis NOVA 1","22675 DULLES SUMMIT CT","Prologis","Redevelopment","Existing",38.98944194,-77.44954289
432,"Loudoun County","DCT DULLES PHASE II","22651 DULLES SUMMIT CT","DCT DULLES PHASE II LLC","Complete","Existing",38.98813133,-77.45051895
433,"Loudoun County","VA 16","22321 PACIFIC BLVD , STERLING","VANTAGE DATA CENTERS","Complete","Existing",38.99908829,-77.44114194
436,"Loudoun County","SDC ASHBURN I","44351 IMPORT PLZ","SDC ASHBURN ALPHA I LLC","Operating, Expanding","Existing",38.99620896,-77.47163813
441,"Loudoun County","STERLING VI, V","21340 PACIFIC BLVD","CyrusOne","Complete","Existing",39.02434941,-77.43410482
450,"Loudoun County","ACC4 Digital Realty","44480 HASTINGS DR","Digital Realty","Complete","Existing",39.01794393,-77.4626604
452,"Loudoun County","NTT Global Data Centers","44245 GIGABIT PLZ","NTT GLOBAL DATA CENTERS VA LLC","Operating, Expanding","Existing",39.018154,-77.47288888
453,"Loudoun County","NTT Global Data Centers Building 7","44245 GIGABIT PLZ","NTT GLOBAL DATA CENTERS VA LLC","Expansion","Existing",39.01596573,-77.47207657
455,"Loudoun County","AID1 DataBank","21625 RED RUM DR","GI TC ASHBURN LLC","Operating, Expanding","Existing",39.01561562,-77.48246656
460,"Loudoun County","COMPASS DATACENTERS IAD I","42247 THUNDERBALL DR","Compass","Complete","Existing",39.0438211,-77.53760127
510,"Loudoun County","IAD3 Evoque Cyxtera","22995 WILDER CT","22995 WILDER COURT LLC","Complete","Existing",38.98105939,-77.44433907
